Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
create,5500,17385,1099,75186,15479.57,0.455%,68.75000,64.09,28.06,954.6
get,5500,20163,0,70366,13248.21,1.073%,63.45178,77.16,11.73,1245.2
auth,5500,3887,0,49943,5271.68,0.309%,63.50379,48.46,16.14,781.3
update,5500,20169,1742,67767,10418.81,0.255%,62.67092,58.49,27.84,955.7
TOTAL,22000,15401,0,75186,13540.49,0.523%,243.17722,233.73,78.51,984.2
